gene_symbol	MANE_transcript	ClinVar_PL_record_count	semantic_class_prePAExact	public_label	curated_display_gene	low_record_burden_flag	browser_status	detail_page	unit_count	best_single_exon_coverage_fraction	best_adjacent_exon_block_coverage_fraction	best_downstream_CDS_implantation_coverage_fraction
ABCA2	ENST00000341511.11	14	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ABCA2.html	283	0.214286	0.357143	1.000000
ABCA3	ENST00000301732.10	135	high_coverage_downstream_CDS_but_donor_or_context_burden	High-coverage context-burden opportunity	false	false	all-mapped enumerated	genes/ABCA3.html	187	0.081481	0.237037	1.000000
ABCA4	ENST00000370225.4	1464	large_gene_or_donor_burden_stress_case	Donor-burden stress	true	false	all-mapped enumerated; curated display gene	genes/ABCA4.html	289	0.043716	0.148907	0.987022
ABCA5	ENST00000392676.8	5	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ABCA5.html	223	0.200000	0.400000	1.000000
ABCA7	ENST00000263094.11	18	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ABCA7.html	271	0.222222	0.277778	1.000000
ABCA8	ENST00000586539.6	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ABCA8.html	229	1.000000	1.000000	1.000000
ABCB1	ENST00000622132.5	4	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ABCB1.html	157	0.250000	0.750000	1.000000
ABCB11	ENST00000650372.1	318	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	true	false	all-mapped enumerated; curated display gene	genes/ABCB11.html	157	0.081761	0.248428	1.000000
ABCB4	ENST00000649586.2	164	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ABCB4.html	157	0.085366	0.250000	1.000000
ABCB6	ENST00000265316.9	10	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ABCB6.html	103	0.300000	0.500000	0.900000
ABCB7	ENST00000373394.8	10	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ABCB7.html	85	0.400000	0.700000	1.000000
ABCC1	ENST00000399410.8	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ABCC1.html	175	1.000000	1.000000	1.000000
ABCC2	ENST00000647814.1	189	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ABCC2.html	181	0.079365	0.248677	1.000000
ABCC6	ENST00000205557.12	296	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	true	false	all-mapped enumerated; curated display gene	genes/ABCC6.html	175	0.091216	0.290541	1.000000
ABCC8	ENST00000389817.8	476	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	true	false	all-mapped enumerated; curated display gene	genes/ABCC8.html	223	0.075630	0.214286	0.945378
ABCC9	ENST00000261200.9	102	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ABCC9.html	229	0.078431	0.225490	1.000000
ABCD1	ENST00000218104.6	512	compact_adjacent_exon_block_opportunity	Compact exon/block opportunity	true	false	all-mapped enumerated; curated display gene	genes/ABCD1.html	49	0.416016	0.638672	0.593750
ABCD3	ENST00000370214.9	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ABCD3.html	127	0.000000	0.000000	1.000000
ABCD4	ENST00000356924.9	42	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ABCD4.html	103	0.166667	0.428571	0.976190
ABCG5	ENST00000405322.8	70	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ABCG5.html	67	0.128571	0.428571	0.914286
ABCG8	ENST00000272286.4	60	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ABCG8.html	67	0.133333	0.500000	0.966667
ABHD12	ENST00000339157.10	52	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ABHD12.html	67	0.192308	0.423077	0.923077
ABHD16A	ENST00000395952.8	7	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ABHD16A.html	109	0.142857	0.571429	1.000000
ABHD5	ENST00000644371.2	32	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ABHD5.html	31	0.343750	0.875000	0.906250
ABL1	ENST00000318560.6	26	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ABL1.html	55	0.307692	0.692308	1.000000
ACACA	ENST00000616317.5	2	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACACA.html	325	0.500000	0.500000	1.000000
ACAD8	ENST00000281182.9	37	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACAD8.html	55	0.135135	0.513514	0.864865
ACAD9	ENST00000308982.12	185	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACAD9.html	97	0.129730	0.394595	0.935135
ACADM	ENST00000370841.9	370	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	true	false	all-mapped enumerated; curated display gene	genes/ACADM.html	61	0.200000	0.518919	0.972973
ACADS	ENST00000242592.9	93	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACADS.html	49	0.161290	0.559140	0.946237
ACADSB	ENST00000358776.7	42	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACADSB.html	55	0.166667	0.523810	0.976190
ACADVL	ENST00000356839.10	513	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	true	false	all-mapped enumerated; curated display gene	genes/ACADVL.html	109	0.097466	0.411306	0.976608
ACAN	ENST00000560601.4	203	high_coverage_downstream_CDS_but_donor_or_context_burden	High-coverage context-burden opportunity	false	false	all-mapped enumerated	genes/ACAN.html	103	0.256158	0.482759	1.000000
ACAT1	ENST00000265838.9	212	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACAT1.html	61	0.146226	0.476415	0.948113
ACBD5	ENST00000396271.8	24	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACBD5.html	67	0.208333	0.458333	0.958333
ACBD6	ENST00000367595.4	15	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACBD6.html	37	0.200000	0.466667	0.800000
ACD	ENST00000620761.6	5	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACD.html	61	0.400000	1.000000	1.000000
ACE	ENST00000290866.10	64	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACE.html	139	0.187500	0.343750	0.812500
ACER3	ENST00000532485.6	6	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACER3.html	55	0.500000	1.000000	1.000000
ACKR1	ENST00000368122.4	2	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACKR1.html	4	0.500000	1.000000	0.500000
ACKR3	ENST00000272928.4	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACKR3.html	4	1.000000	1.000000	1.000000
ACO2	ENST00000216254.9	82	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACO2.html	97	0.109756	0.341463	0.975610
ACOT1	ENST00000311148.9	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACOT1.html	8	1.000000	1.000000	0.000000
ACOX1	ENST00000293217.10	80	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACOX1.html	73	0.137500	0.475000	0.987500
ACOX2	ENST00000302819.10	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACOX2.html	79	1.000000	1.000000	1.000000
ACP4	ENST00000270593.2	12	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACP4.html	55	0.416667	0.916667	1.000000
ACP5	ENST00000648477.1	38	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACP5.html	19	0.421053	1.000000	1.000000
ACP6	ENST00000583509.7	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACP6.html	49	1.000000	1.000000	1.000000
ACR	ENST00000216139.10	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACR.html	19	1.000000	1.000000	1.000000
ACSF3	ENST00000614302.5	186	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACSF3.html	55	0.263441	0.645161	1.000000
ACSL4	ENST00000672401.1	14	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACSL4.html	85	0.142857	0.571429	1.000000
ACSL5	ENST00000354655.9	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACSL5.html	115	1.000000	1.000000	1.000000
ACSM3	ENST00000289416.10	8	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACSM3.html	73	0.000000	0.000000	0.000000
ACTA1	ENST00000366684.7	230	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	true	false	all-mapped enumerated; curated display gene	genes/ACTA1.html	31	0.343478	0.908696	1.000000
ACTA2	ENST00000224784.10	40	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACTA2.html	43	0.225000	0.725000	0.975000
ACTB	ENST00000646664.1	137	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACTB.html	25	0.372263	1.000000	1.000000
ACTC1	ENST00000290378.6	22	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACTC1.html	31	0.318182	1.000000	1.000000
ACTG1	ENST00000573283.7	59	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACTG1.html	25	0.525424	1.000000	1.000000
ACTG2	ENST00000345517.8	42	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACTG2.html	43	0.309524	0.809524	1.000000
ACTL6B	ENST00000160382.10	54	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACTL6B.html	73	0.148148	0.500000	0.981481
ACTL7A	ENST00000333999.5	7	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACTL7A.html	1	1.000000		
ACTL9	ENST00000324436.5	3	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACTL9.html	1	1.000000		
ACTN1	ENST00000394419.9	21	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACTN1.html	121	0.142857	0.380952	0.952381
ACTN2	ENST00000366578.6	25	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ACTN2.html	115	0.160000	0.360000	1.000000
ACTN4	ENST00000252699.7	17	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACTN4.html	115	0.294118	0.882353	1.000000
ACTR2	ENST00000260641.10	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACTR2.html	43	1.000000	1.000000	1.000000
ACTRT3	ENST00000330368.3	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACTRT3.html	4	0.000000	0.000000	1.000000
ACVR1	ENST00000434821.7	10	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACVR1.html	55	0.300000	1.000000	1.000000
ACVR1B	ENST00000257963.9	3	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACVR1B.html	43	0.333333	0.666667	1.000000
ACVR2B	ENST00000352511.5	2	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACVR2B.html	55	1.000000	1.000000	1.000000
ACVRL1	ENST00000388922.9	546	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	true	false	all-mapped enumerated; curated display gene	genes/ACVRL1.html	49	0.245421	0.672161	1.000000
ACY1	ENST00000636358.2	12	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ACY1.html	79	0.166667	0.500000	1.000000
ADA	ENST00000372874.9	164	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADA.html	61	0.170732	0.548780	0.975610
ADA2	ENST00000399837.8	89	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADA2.html	49	0.224719	0.595506	1.000000
ADAD2	ENST00000315906.10	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADAD2.html	49	1.000000	1.000000	1.000000
ADAM10	ENST00000260408.8	4	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADAM10.html	85	0.250000	0.750000	1.000000
ADAM17	ENST00000310823.8	26	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADAM17.html	103	0.115385	0.423077	1.000000
ADAM22	ENST00000413139.2	9	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADAM22.html	181	0.222222	0.444444	1.000000
ADAM9	ENST00000487273.7	29	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADAM9.html	121	0.172414	0.413793	0.965517
ADAMTS1	ENST00000284984.8	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADAMTS1.html	43	1.000000	1.000000	1.000000
ADAMTS10	ENST00000597188.6	37	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADAMTS10.html	145	0.135135	0.270270	1.000000
ADAMTS13	ENST00000355699.7	125	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADAMTS13.html	163	0.072000	0.248000	0.960000
ADAMTS15	ENST00000299164.4	5	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADAMTS15.html	37	0.400000	0.800000	0.800000
ADAMTS16	ENST00000274181.7	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADAMTS16.html	127	1.000000	1.000000	1.000000
ADAMTS17	ENST00000268070.9	67	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADAMTS17.html	121	0.104478	0.343284	1.000000
ADAMTS18	ENST00000282849.10	58	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADAMTS18.html	127	0.172414	0.379310	1.000000
ADAMTS19	ENST00000274487.9	9	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADAMTS19.html	127	0.444444	0.555556	1.000000
ADAMTS2	ENST00000251582.12	125	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADAMTS2.html	121	0.200000	0.440000	0.808000
ADAMTS3	ENST00000286657.10	3	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADAMTS3.html	121	0.666667	1.000000	1.000000
ADAMTS6	ENST00000381055.8	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADAMTS6.html	139	1.000000	1.000000	1.000000
ADAMTS9	ENST00000498707.5	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADAMTS9.html	228	1.000000	1.000000	1.000000
ADAMTSL2	ENST00000651351.2	22	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADAMTSL2.html	103	0.272727	0.590909	1.000000
ADAMTSL4	ENST00000271643.9	166	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADAMTSL4.html	103	0.180723	0.409639	1.000000
ADAR	ENST00000368474.9	111	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADAR.html	79	0.369369	0.540541	1.000000
ADARB1	ENST00000348831.9	6	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADARB1.html	55	0.166667	0.666667	1.000000
ADAT3	ENST00000329478.4	5	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADAT3.html	4	1.000000	1.000000	1.000000
ADCY10	ENST00000367851.9	33	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADCY10.html	187	0.090909	0.272727	1.000000
ADCY3	ENST00000679454.1	10	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADCY3.html	121	0.200000	0.400000	1.000000
ADCY5	ENST00000462833.6	57	diffuse_or_moderate_replacement_opportunity	Diffuse/moderate opportunity	false	false	all-mapped enumerated	genes/ADCY5.html	115	0.280702	0.491228	0.719298
ADCY6	ENST00000357869.8	3	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADCY6.html	121	0.333333	0.666667	1.000000
ADD1	ENST00000683351.1	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADD1.html	85	1.000000	1.000000	1.000000
ADD3	ENST00000356080.9	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADD3.html	79	1.000000	1.000000	1.000000
ADGRB2	ENST00000373658.8	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADGRB2.html	187	1.000000	1.000000	1.000000
ADGRB3	ENST00000370598.6	2	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADGRB3.html	181	0.500000	0.500000	1.000000
ADGRE2	ENST00000315576.8	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADGRE2.html	115	1.000000	1.000000	1.000000
ADGRG1	ENST00000562631.7	126	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADGRG1.html	73	0.230159	0.579365	1.000000
ADGRG2	ENST00000379869.8	11	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADGRG2.html	163	0.272727	0.454545	1.000000
ADGRG6	ENST00000367609.8	8	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADGRG6.html	139	0.375000	0.500000	1.000000
ADGRL1	ENST00000361434.8	28	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADGRL1.html	127	0.178571	0.500000	1.000000
ADGRV1	ENST00000405460.9	650	large_gene_or_donor_burden_stress_case	Donor-burden stress	true	false	all-mapped enumerated; curated display gene	genes/ADGRV1.html	529	0.041538	0.098462	0.998462
ADH5	ENST00000296412.14	4	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADH5.html	43	0.250000	0.750000	1.000000
ADIPOQ	ENST00000320741.7	2	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADIPOQ.html	8	1.000000	1.000000	1.000000
ADIPOR1	ENST00000340990.10	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADIPOR1.html	37	1.000000	1.000000	1.000000
ADK	ENST00000539909.6	13	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADK.html	55	0.384615	0.692308	0.846154
ADNP	ENST00000621696.5	164	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADNP.html	25	0.865854	0.993902	1.000000
ADPRS	ENST00000373178.5	19	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADPRS.html	25	0.263158	0.894737	0.789474
ADRA2A	ENST00000280155.4	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADRA2A.html	1	1.000000		
ADRA2B	ENST00000620793.2	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADRA2B.html	1	1.000000		
ADRB1	ENST00000369295.4	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/ADRB1.html	1	1.000000		
ADSL	ENST00000623063.3	71	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADSL.html	67	0.154930	0.464789	0.901408
ADSS1	ENST00000330877.7	30	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/ADSS1.html	67	0.200000	0.700000	1.000000
AEBP1	ENST00000223357.8	46	compact_downstream_CDS_implantation_opportunity	Compact downstream-CDS opportunity	false	false	all-mapped enumerated	genes/AEBP1.html	115	0.108696	0.369565	0.913043
AFAP1L2	ENST00000304129.9	1	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/AFAP1L2.html	103	0.000000	0.000000	1.000000
AFF2	ENST00000370460.7	16	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/AFF2.html	115	0.187500	0.500000	1.000000
AFF3	ENST00000672756.2	11	low_record_burden_interpretation_limited	Low-record-burden interpretation-limited	false	true	all-mapped enumerated; low-record-burden interpretation-limited	genes/AFF3.html	139	0.818182	0.909091	1.000000
