gene_symbol	MANE_transcript	ClinVar_PL_record_count	public_label_v5	low_record_burden_flag	unit_count	best_single_exon_coverage_fraction	best_adjacent_exon_block_coverage_fraction	best_downstream_CDS_implantation_coverage_fraction	detail_page
ABCA7	ENST00000263094.11	18	Low-record-burden interpretation-limited	true	271	0.222222	0.277778	1.000000	genes/ABCA7.html
ABCA8	ENST00000586539.6	1	Low-record-burden interpretation-limited	true	229	1.000000	1.000000	1.000000	genes/ABCA8.html
ABCB1	ENST00000622132.5	4	Low-record-burden interpretation-limited	true	157	0.250000	0.750000	1.000000	genes/ABCB1.html
ABCB11	ENST00000650372.1	318	Compact downstream-CDS record-coverage hypothesis	false	157	0.081761	0.248428	1.000000	genes/ABCB11.html
ABCB4	ENST00000649586.2	164	Compact downstream-CDS record-coverage hypothesis	false	157	0.085366	0.250000	1.000000	genes/ABCB4.html
ABCB6	ENST00000265316.9	10	Low-record-burden interpretation-limited	true	103	0.300000	0.500000	0.900000	genes/ABCB6.html
ABCB7	ENST00000373394.8	10	Low-record-burden interpretation-limited	true	85	0.400000	0.700000	1.000000	genes/ABCB7.html
ABCC1	ENST00000399410.8	1	Low-record-burden interpretation-limited	true	175	1.000000	1.000000	1.000000	genes/ABCC1.html
ABCC2	ENST00000647814.1	189	Compact downstream-CDS record-coverage hypothesis	false	181	0.079365	0.248677	1.000000	genes/ABCC2.html
ABCC6	ENST00000205557.12	296	Compact downstream-CDS record-coverage hypothesis	false	175	0.091216	0.290541	1.000000	genes/ABCC6.html
ABCC8	ENST00000389817.8	476	Compact downstream-CDS record-coverage hypothesis	false	223	0.075630	0.214286	0.945378	genes/ABCC8.html
ABCC9	ENST00000261200.9	102	Compact downstream-CDS record-coverage hypothesis	false	229	0.078431	0.225490	1.000000	genes/ABCC9.html
ABCD1	ENST00000218104.6	512	Compact local exon/block record cluster	false	49	0.416016	0.638672	0.593750	genes/ABCD1.html
ABCD3	ENST00000370214.9	1	Low-record-burden interpretation-limited	true	127	0.000000	0.000000	1.000000	genes/ABCD3.html
ABCD4	ENST00000356924.9	42	Compact downstream-CDS record-coverage hypothesis	false	103	0.166667	0.428571	0.976190	genes/ABCD4.html
ABCG5	ENST00000405322.8	70	Compact downstream-CDS record-coverage hypothesis	false	67	0.128571	0.428571	0.914286	genes/ABCG5.html
ABCG8	ENST00000272286.4	60	Compact downstream-CDS record-coverage hypothesis	false	67	0.133333	0.500000	0.966667	genes/ABCG8.html
ABHD12	ENST00000339157.10	52	Compact downstream-CDS record-coverage hypothesis	false	67	0.192308	0.423077	0.923077	genes/ABHD12.html
ABHD16A	ENST00000395952.8	7	Low-record-burden interpretation-limited	true	109	0.142857	0.571429	1.000000	genes/ABHD16A.html
ABHD5	ENST00000644371.2	32	Compact downstream-CDS record-coverage hypothesis	false	31	0.343750	0.875000	0.906250	genes/ABHD5.html
ABL1	ENST00000318560.6	26	Compact downstream-CDS record-coverage hypothesis	false	55	0.307692	0.692308	1.000000	genes/ABL1.html
ACACA	ENST00000616317.5	2	Low-record-burden interpretation-limited	true	325	0.500000	0.500000	1.000000	genes/ACACA.html
ACAD8	ENST00000281182.9	37	Compact downstream-CDS record-coverage hypothesis	false	55	0.135135	0.513514	0.864865	genes/ACAD8.html
ACAD9	ENST00000308982.12	185	Compact downstream-CDS record-coverage hypothesis	false	97	0.129730	0.394595	0.935135	genes/ACAD9.html
ACADM	ENST00000370841.9	370	Compact downstream-CDS record-coverage hypothesis	false	61	0.200000	0.518919	0.972973	genes/ACADM.html
ACADS	ENST00000242592.9	93	Compact downstream-CDS record-coverage hypothesis	false	49	0.161290	0.559140	0.946237	genes/ACADS.html
ACADSB	ENST00000358776.7	42	Compact downstream-CDS record-coverage hypothesis	false	55	0.166667	0.523810	0.976190	genes/ACADSB.html
ACADVL	ENST00000356839.10	513	Compact downstream-CDS record-coverage hypothesis	false	109	0.097466	0.411306	0.976608	genes/ACADVL.html
ACAN	ENST00000560601.4	203	Downstream-CDS high-coverage with context burden	false	103	0.256158	0.482759	1.000000	genes/ACAN.html
ACAT1	ENST00000265838.9	212	Compact downstream-CDS record-coverage hypothesis	false	61	0.146226	0.476415	0.948113	genes/ACAT1.html
ACBD5	ENST00000396271.8	24	Compact downstream-CDS record-coverage hypothesis	false	67	0.208333	0.458333	0.958333	genes/ACBD5.html
ACBD6	ENST00000367595.4	15	Low-record-burden interpretation-limited	true	37	0.200000	0.466667	0.800000	genes/ACBD6.html
ACD	ENST00000620761.6	5	Low-record-burden interpretation-limited	true	61	0.400000	1.000000	1.000000	genes/ACD.html
ACE	ENST00000290866.10	64	Compact downstream-CDS record-coverage hypothesis	false	139	0.187500	0.343750	0.812500	genes/ACE.html
ACER3	ENST00000532485.6	6	Low-record-burden interpretation-limited	true	55	0.500000	1.000000	1.000000	genes/ACER3.html
ACKR1	ENST00000368122.4	2	Low-record-burden interpretation-limited	true	4	0.500000	1.000000	0.500000	genes/ACKR1.html
ACKR3	ENST00000272928.4	1	Low-record-burden interpretation-limited	true	4	1.000000	1.000000	1.000000	genes/ACKR3.html
ACO2	ENST00000216254.9	82	Compact downstream-CDS record-coverage hypothesis	false	97	0.109756	0.341463	0.975610	genes/ACO2.html
ACOT1	ENST00000311148.9	1	Low-record-burden interpretation-limited	true	8	1.000000	1.000000	0.000000	genes/ACOT1.html
ACOX1	ENST00000293217.10	80	Compact downstream-CDS record-coverage hypothesis	false	73	0.137500	0.475000	0.987500	genes/ACOX1.html
ACOX2	ENST00000302819.10	1	Low-record-burden interpretation-limited	true	79	1.000000	1.000000	1.000000	genes/ACOX2.html
ACP4	ENST00000270593.2	12	Low-record-burden interpretation-limited	true	55	0.416667	0.916667	1.000000	genes/ACP4.html
ACP5	ENST00000648477.1	38	Compact downstream-CDS record-coverage hypothesis	false	19	0.421053	1.000000	1.000000	genes/ACP5.html
ACP6	ENST00000583509.7	1	Low-record-burden interpretation-limited	true	49	1.000000	1.000000	1.000000	genes/ACP6.html
ACR	ENST00000216139.10	1	Low-record-burden interpretation-limited	true	19	1.000000	1.000000	1.000000	genes/ACR.html
ACSF3	ENST00000614302.5	186	Compact downstream-CDS record-coverage hypothesis	false	55	0.263441	0.645161	1.000000	genes/ACSF3.html
ACSL4	ENST00000672401.1	14	Low-record-burden interpretation-limited	true	85	0.142857	0.571429	1.000000	genes/ACSL4.html
ACSL5	ENST00000354655.9	1	Low-record-burden interpretation-limited	true	115	1.000000	1.000000	1.000000	genes/ACSL5.html
ACSM3	ENST00000289416.10	8	Low-record-burden interpretation-limited	true	73	0.000000	0.000000	0.000000	genes/ACSM3.html
ACTA1	ENST00000366684.7	230	Compact downstream-CDS record-coverage hypothesis	false	31	0.343478	0.908696	1.000000	genes/ACTA1.html
ACTA2	ENST00000224784.10	40	Compact downstream-CDS record-coverage hypothesis	false	43	0.225000	0.725000	0.975000	genes/ACTA2.html
ACTB	ENST00000646664.1	137	Compact downstream-CDS record-coverage hypothesis	false	25	0.372263	1.000000	1.000000	genes/ACTB.html
ACTC1	ENST00000290378.6	22	Compact downstream-CDS record-coverage hypothesis	false	31	0.318182	1.000000	1.000000	genes/ACTC1.html
ACTG1	ENST00000573283.7	59	Compact downstream-CDS record-coverage hypothesis	false	25	0.525424	1.000000	1.000000	genes/ACTG1.html
ACTG2	ENST00000345517.8	42	Compact downstream-CDS record-coverage hypothesis	false	43	0.309524	0.809524	1.000000	genes/ACTG2.html
ACTL6B	ENST00000160382.10	54	Compact downstream-CDS record-coverage hypothesis	false	73	0.148148	0.500000	0.981481	genes/ACTL6B.html
ACTL7A	ENST00000333999.5	7	Low-record-burden interpretation-limited	true	1	1.000000			genes/ACTL7A.html
ACTL9	ENST00000324436.5	3	Low-record-burden interpretation-limited	true	1	1.000000			genes/ACTL9.html
ACTN1	ENST00000394419.9	21	Compact downstream-CDS record-coverage hypothesis	false	121	0.142857	0.380952	0.952381	genes/ACTN1.html
ACTN2	ENST00000366578.6	25	Compact downstream-CDS record-coverage hypothesis	false	115	0.160000	0.360000	1.000000	genes/ACTN2.html
ACTN4	ENST00000252699.7	17	Low-record-burden interpretation-limited	true	115	0.294118	0.882353	1.000000	genes/ACTN4.html
ACTR2	ENST00000260641.10	1	Low-record-burden interpretation-limited	true	43	1.000000	1.000000	1.000000	genes/ACTR2.html
ACTRT3	ENST00000330368.3	1	Low-record-burden interpretation-limited	true	4	0.000000	0.000000	1.000000	genes/ACTRT3.html
ACVR1	ENST00000434821.7	10	Low-record-burden interpretation-limited	true	55	0.300000	1.000000	1.000000	genes/ACVR1.html
ACVR1B	ENST00000257963.9	3	Low-record-burden interpretation-limited	true	43	0.333333	0.666667	1.000000	genes/ACVR1B.html
ACVR2B	ENST00000352511.5	2	Low-record-burden interpretation-limited	true	55	1.000000	1.000000	1.000000	genes/ACVR2B.html
ACVRL1	ENST00000388922.9	546	Compact downstream-CDS record-coverage hypothesis	false	49	0.245421	0.672161	1.000000	genes/ACVRL1.html
ACY1	ENST00000636358.2	12	Low-record-burden interpretation-limited	true	79	0.166667	0.500000	1.000000	genes/ACY1.html
ADA	ENST00000372874.9	164	Compact downstream-CDS record-coverage hypothesis	false	61	0.170732	0.548780	0.975610	genes/ADA.html
ADA2	ENST00000399837.8	89	Compact downstream-CDS record-coverage hypothesis	false	49	0.224719	0.595506	1.000000	genes/ADA2.html
ADAD2	ENST00000315906.10	1	Low-record-burden interpretation-limited	true	49	1.000000	1.000000	1.000000	genes/ADAD2.html
ADAM10	ENST00000260408.8	4	Low-record-burden interpretation-limited	true	85	0.250000	0.750000	1.000000	genes/ADAM10.html
ADAM17	ENST00000310823.8	26	Compact downstream-CDS record-coverage hypothesis	false	103	0.115385	0.423077	1.000000	genes/ADAM17.html
ADAM22	ENST00000413139.2	9	Low-record-burden interpretation-limited	true	181	0.222222	0.444444	1.000000	genes/ADAM22.html
ADAM9	ENST00000487273.7	29	Compact downstream-CDS record-coverage hypothesis	false	121	0.172414	0.413793	0.965517	genes/ADAM9.html
ADAMTS1	ENST00000284984.8	1	Low-record-burden interpretation-limited	true	43	1.000000	1.000000	1.000000	genes/ADAMTS1.html
ADAMTS10	ENST00000597188.6	37	Compact downstream-CDS record-coverage hypothesis	false	145	0.135135	0.270270	1.000000	genes/ADAMTS10.html
ADAMTS13	ENST00000355699.7	125	Compact downstream-CDS record-coverage hypothesis	false	163	0.072000	0.248000	0.960000	genes/ADAMTS13.html
ADAMTS15	ENST00000299164.4	5	Low-record-burden interpretation-limited	true	37	0.400000	0.800000	0.800000	genes/ADAMTS15.html
ADAMTS16	ENST00000274181.7	1	Low-record-burden interpretation-limited	true	127	1.000000	1.000000	1.000000	genes/ADAMTS16.html
ADAMTS17	ENST00000268070.9	67	Compact downstream-CDS record-coverage hypothesis	false	121	0.104478	0.343284	1.000000	genes/ADAMTS17.html
ADAMTS18	ENST00000282849.10	58	Compact downstream-CDS record-coverage hypothesis	false	127	0.172414	0.379310	1.000000	genes/ADAMTS18.html
ADAMTS19	ENST00000274487.9	9	Low-record-burden interpretation-limited	true	127	0.444444	0.555556	1.000000	genes/ADAMTS19.html
ADAMTS2	ENST00000251582.12	125	Compact downstream-CDS record-coverage hypothesis	false	121	0.200000	0.440000	0.808000	genes/ADAMTS2.html
ADAMTS3	ENST00000286657.10	3	Low-record-burden interpretation-limited	true	121	0.666667	1.000000	1.000000	genes/ADAMTS3.html
ADAMTS6	ENST00000381055.8	1	Low-record-burden interpretation-limited	true	139	1.000000	1.000000	1.000000	genes/ADAMTS6.html
ADAMTS9	ENST00000498707.5	1	Low-record-burden interpretation-limited	true	228	1.000000	1.000000	1.000000	genes/ADAMTS9.html
ADAMTSL2	ENST00000651351.2	22	Compact downstream-CDS record-coverage hypothesis	false	103	0.272727	0.590909	1.000000	genes/ADAMTSL2.html
ADAMTSL4	ENST00000271643.9	166	Compact downstream-CDS record-coverage hypothesis	false	103	0.180723	0.409639	1.000000	genes/ADAMTSL4.html
ADAR	ENST00000368474.9	111	Compact downstream-CDS record-coverage hypothesis	false	79	0.369369	0.540541	1.000000	genes/ADAR.html
ADARB1	ENST00000348831.9	6	Low-record-burden interpretation-limited	true	55	0.166667	0.666667	1.000000	genes/ADARB1.html
ADAT3	ENST00000329478.4	5	Low-record-burden interpretation-limited	true	4	1.000000	1.000000	1.000000	genes/ADAT3.html
ADCY10	ENST00000367851.9	33	Compact downstream-CDS record-coverage hypothesis	false	187	0.090909	0.272727	1.000000	genes/ADCY10.html
ADCY3	ENST00000679454.1	10	Low-record-burden interpretation-limited	true	121	0.200000	0.400000	1.000000	genes/ADCY3.html
ADCY5	ENST00000462833.6	57	Diffuse/moderate record architecture	false	115	0.280702	0.491228	0.719298	genes/ADCY5.html
ADCY6	ENST00000357869.8	3	Low-record-burden interpretation-limited	true	121	0.333333	0.666667	1.000000	genes/ADCY6.html
ADD1	ENST00000683351.1	1	Low-record-burden interpretation-limited	true	85	1.000000	1.000000	1.000000	genes/ADD1.html
ADD3	ENST00000356080.9	1	Low-record-burden interpretation-limited	true	79	1.000000	1.000000	1.000000	genes/ADD3.html
ADGRB2	ENST00000373658.8	1	Low-record-burden interpretation-limited	true	187	1.000000	1.000000	1.000000	genes/ADGRB2.html
ADGRB3	ENST00000370598.6	2	Low-record-burden interpretation-limited	true	181	0.500000	0.500000	1.000000	genes/ADGRB3.html
ADGRE2	ENST00000315576.8	1	Low-record-burden interpretation-limited	true	115	1.000000	1.000000	1.000000	genes/ADGRE2.html
ADGRG1	ENST00000562631.7	126	Compact downstream-CDS record-coverage hypothesis	false	73	0.230159	0.579365	1.000000	genes/ADGRG1.html
ADGRG2	ENST00000379869.8	11	Low-record-burden interpretation-limited	true	163	0.272727	0.454545	1.000000	genes/ADGRG2.html
ADGRG6	ENST00000367609.8	8	Low-record-burden interpretation-limited	true	139	0.375000	0.500000	1.000000	genes/ADGRG6.html
ADGRL1	ENST00000361434.8	28	Compact downstream-CDS record-coverage hypothesis	false	127	0.178571	0.500000	1.000000	genes/ADGRL1.html
ADGRV1	ENST00000405460.9	650	Large-payload / donor-burden stress	false	529	0.041538	0.098462	0.998462	genes/ADGRV1.html
ADH5	ENST00000296412.14	4	Low-record-burden interpretation-limited	true	43	0.250000	0.750000	1.000000	genes/ADH5.html
ADIPOQ	ENST00000320741.7	2	Low-record-burden interpretation-limited	true	8	1.000000	1.000000	1.000000	genes/ADIPOQ.html
ADIPOR1	ENST00000340990.10	1	Low-record-burden interpretation-limited	true	37	1.000000	1.000000	1.000000	genes/ADIPOR1.html
ADK	ENST00000539909.6	13	Low-record-burden interpretation-limited	true	55	0.384615	0.692308	0.846154	genes/ADK.html
ADNP	ENST00000621696.5	164	Compact downstream-CDS record-coverage hypothesis	false	25	0.865854	0.993902	1.000000	genes/ADNP.html
ADPRS	ENST00000373178.5	19	Low-record-burden interpretation-limited	true	25	0.263158	0.894737	0.789474	genes/ADPRS.html
ADRA2A	ENST00000280155.4	1	Low-record-burden interpretation-limited	true	1	1.000000			genes/ADRA2A.html
ADRA2B	ENST00000620793.2	1	Low-record-burden interpretation-limited	true	1	1.000000			genes/ADRA2B.html
ADRB1	ENST00000369295.4	1	Low-record-burden interpretation-limited	true	1	1.000000			genes/ADRB1.html
ADSL	ENST00000623063.3	71	Compact downstream-CDS record-coverage hypothesis	false	67	0.154930	0.464789	0.901408	genes/ADSL.html
ADSS1	ENST00000330877.7	30	Compact downstream-CDS record-coverage hypothesis	false	67	0.200000	0.700000	1.000000	genes/ADSS1.html
AEBP1	ENST00000223357.8	46	Compact downstream-CDS record-coverage hypothesis	false	115	0.108696	0.369565	0.913043	genes/AEBP1.html
AFAP1L2	ENST00000304129.9	1	Low-record-burden interpretation-limited	true	103	0.000000	0.000000	1.000000	genes/AFAP1L2.html
AFF2	ENST00000370460.7	16	Low-record-burden interpretation-limited	true	115	0.187500	0.500000	1.000000	genes/AFF2.html
AFF3	ENST00000672756.2	11	Low-record-burden interpretation-limited	true	139	0.818182	0.909091	1.000000	genes/AFF3.html
AFF4	ENST00000265343.10	7	Low-record-burden interpretation-limited	true	115	1.000000	1.000000	1.000000	genes/AFF4.html
AFG2A	ENST00000274008.5	98	Compact downstream-CDS record-coverage hypothesis	false	85	0.214286	0.448980	0.969388	genes/AFG2A.html
AFG2B	ENST00000305560.11	21	Compact local exon/block record cluster	false	37	0.285714	0.714286	0.714286	genes/AFG2B.html
AFG3L2	ENST00000269143.8	66	Compact downstream-CDS record-coverage hypothesis	false	91	0.318182	0.545455	0.984848	genes/AFG3L2.html
AFP	ENST00000395792.7	3	Low-record-burden interpretation-limited	true	78	0.333333	0.666667	1.000000	genes/AFP.html
AGA	ENST00000264595.7	118	Compact downstream-CDS record-coverage hypothesis	false	43	0.211864	0.720339	0.813559	genes/AGA.html
AGBL5	ENST00000360131.5	41	Compact downstream-CDS record-coverage hypothesis	false	79	0.170732	0.609756	1.000000	genes/AGBL5.html
AGGF1	ENST00000312916.12	1	Low-record-burden interpretation-limited	true	73	1.000000	1.000000	0.000000	genes/AGGF1.html
AGK	ENST00000649286.2	50	Compact downstream-CDS record-coverage hypothesis	false	85	0.140000	0.400000	1.000000	genes/AGK.html
AGL	ENST00000361915.8	624	Compact downstream-CDS record-coverage hypothesis	false	193	0.056090	0.201923	1.000000	genes/AGL.html
AGMAT	ENST00000375826.4	1	Low-record-burden interpretation-limited	true	31	1.000000	1.000000	1.000000	genes/AGMAT.html
AGMO	ENST00000342526.8	5	Low-record-burden interpretation-limited	true	67	0.400000	0.800000	1.000000	genes/AGMO.html
AGO1	ENST00000373204.6	16	Low-record-burden interpretation-limited	true	103	0.375000	0.625000	1.000000	genes/AGO1.html
AGO2	ENST00000220592.10	17	Low-record-burden interpretation-limited	true	103	0.235294	0.470588	1.000000	genes/AGO2.html
AGPAT2	ENST00000371696.7	33	Compact downstream-CDS record-coverage hypothesis	false	25	0.212121	0.878788	0.909091	genes/AGPAT2.html
AGPAT3	ENST00000291572.13	1	Low-record-burden interpretation-limited	true	49	1.000000	1.000000	1.000000	genes/AGPAT3.html
AGPAT5	ENST00000285518.11	1	Low-record-burden interpretation-limited	true	37	1.000000	1.000000	1.000000	genes/AGPAT5.html
AGPS	ENST00000264167.11	30	Compact downstream-CDS record-coverage hypothesis	false	109	0.166667	0.400000	1.000000	genes/AGPS.html
AGR2	ENST00000419304.7	8	Low-record-burden interpretation-limited	true	37	0.250000	0.875000	1.000000	genes/AGR2.html
AGRN	ENST00000379370.7	67	Downstream-CDS high-coverage with context burden	false	205	0.089552	0.268657	0.955224	genes/AGRN.html
AGT	ENST00000366667.6	17	Low-record-burden interpretation-limited	true	19	0.470588	1.000000	1.000000	genes/AGT.html
AGTPBP1	ENST00000357081.8	23	Compact downstream-CDS record-coverage hypothesis	false	145	0.130435	0.434783	1.000000	genes/AGTPBP1.html
AGTR1	ENST00000349243.8	13	Low-record-burden interpretation-limited	true	8	0.923077	0.923077	1.000000	genes/AGTR1.html
AGXT	ENST00000307503.4	335	Compact downstream-CDS record-coverage hypothesis	false	55	0.185075	0.558209	0.889552	genes/AGXT.html
AHCY	ENST00000217426.7	19	Low-record-burden interpretation-limited	true	49	0.210526	0.789474	0.947368	genes/AHCY.html
AHDC1	ENST00000673934.1	175	Compact downstream-CDS record-coverage hypothesis	false	42	1.000000	1.000000	1.000000	genes/AHDC1.html
AHI1	ENST00000265602.11	268	Compact downstream-CDS record-coverage hypothesis	false	162	0.108209	0.320896	1.000000	genes/AHI1.html
AHR	ENST00000242057.9	9	Low-record-burden interpretation-limited	true	55	0.555556	0.888889	1.000000	genes/AHR.html
AHSG	ENST00000411641.7	1	Low-record-burden interpretation-limited	true	31	1.000000	1.000000	1.000000	genes/AHSG.html
AICDA	ENST00000229335.11	35	Compact downstream-CDS record-coverage hypothesis	false	19	0.600000	1.000000	1.000000	genes/AICDA.html
AIFM1	ENST00000287295.8	47	Compact downstream-CDS record-coverage hypothesis	false	85	0.170213	0.468085	0.978723	genes/AIFM1.html
AIMP1	ENST00000672341.1	20	Compact downstream-CDS record-coverage hypothesis	false	31	0.250000	0.950000	1.000000	genes/AIMP1.html
AIMP2	ENST00000223029.8	7	Low-record-burden interpretation-limited	true	13	0.571429	1.000000	0.428571	genes/AIMP2.html
AIP	ENST00000279146.8	66	Compact downstream-CDS record-coverage hypothesis	false	25	0.196970	0.787879	0.833333	genes/AIP.html
AIPL1	ENST00000381129.8	80	Compact downstream-CDS record-coverage hypothesis	false	25	0.262500	0.875000	0.887500	genes/AIPL1.html
AIRE	ENST00000291582.6	227	Compact downstream-CDS record-coverage hypothesis	false	73	0.162996	0.458150	0.845815	genes/AIRE.html
AK1	ENST00000644144.2	11	Low-record-burden interpretation-limited	true	31	0.454545	1.000000	1.000000	genes/AK1.html
AK2	ENST00000672715.1	33	Compact downstream-CDS record-coverage hypothesis	false	25	0.454545	0.848485	0.848485	genes/AK2.html
AK9	ENST00000424296.7	3	Low-record-burden interpretation-limited	true	235	0.333333	0.666667	1.000000	genes/AK9.html
AKAP19	ENST00000340623.4	1	Low-record-burden interpretation-limited	true	4	0.000000	0.000000	0.000000	genes/AKAP19.html
AKAP3	ENST00000228850.6	2	Low-record-burden interpretation-limited	true	25	0.500000	1.000000	1.000000	genes/AKAP3.html
AKAP9	ENST00000356239.8	4	Low-record-burden interpretation-limited	true	289	0.500000	0.750000	1.000000	genes/AKAP9.html
AKR1C2	ENST00000380753.9	4	Low-record-burden interpretation-limited	true	43	0.250000	0.750000	1.000000	genes/AKR1C2.html
AKR1D1	ENST00000242375.8	25	Compact downstream-CDS record-coverage hypothesis	false	43	0.280000	0.600000	1.000000	genes/AKR1D1.html
AKT1	ENST00000649815.2	4	Low-record-burden interpretation-limited	true	79	0.750000	0.750000	1.000000	genes/AKT1.html
AKT2	ENST00000392038.7	2	Low-record-burden interpretation-limited	true	73	0.500000	0.500000	1.000000	genes/AKT2.html
AKT3	ENST00000673466.1	13	Low-record-burden interpretation-limited	true	73	0.230769	0.615385	1.000000	genes/AKT3.html
ALAD	ENST00000409155.8	6	Low-record-burden interpretation-limited	true	61	0.166667	0.500000	1.000000	genes/ALAD.html
ALAS2	ENST00000650242.1	50	Compact downstream-CDS record-coverage hypothesis	false	55	0.220000	0.680000	1.000000	genes/ALAS2.html
ALB	ENST00000295897.9	20	Compact downstream-CDS record-coverage hypothesis	false	78	0.200000	0.450000	0.850000	genes/ALB.html
ALDH18A1	ENST00000371224.7	59	Compact downstream-CDS record-coverage hypothesis	false	97	0.152542	0.440678	1.000000	genes/ALDH18A1.html
ALDH1A2	ENST00000249750.9	4	Low-record-burden interpretation-limited	true	67	0.250000	0.750000	1.000000	genes/ALDH1A2.html
ALDH1A3	ENST00000329841.10	24	Compact downstream-CDS record-coverage hypothesis	false	67	0.125000	0.500000	1.000000	genes/ALDH1A3.html
ALDH1B1	ENST00000377698.4	1	Low-record-burden interpretation-limited	true	4	1.000000	1.000000	1.000000	genes/ALDH1B1.html
ALDH3A1	ENST00000225740.11	1	Low-record-burden interpretation-limited	true	55	1.000000	1.000000	1.000000	genes/ALDH3A1.html
ALDH3A2	ENST00000176643.11	178	Compact downstream-CDS record-coverage hypothesis	false	49	0.157303	0.584270	0.893258	genes/ALDH3A2.html
ALDH4A1	ENST00000375341.8	25	Compact downstream-CDS record-coverage hypothesis	false	79	0.200000	0.520000	0.920000	genes/ALDH4A1.html
ALDH5A1	ENST00000357578.8	146	Compact downstream-CDS record-coverage hypothesis	false	49	0.191781	0.657534	0.815068	genes/ALDH5A1.html
ALDH6A1	ENST00000553458.6	7	Low-record-burden interpretation-limited	true	61	0.428571	0.714286	1.000000	genes/ALDH6A1.html
ALDH7A1	ENST00000409134.8	184	Compact downstream-CDS record-coverage hypothesis	false	97	0.125000	0.320652	0.951087	genes/ALDH7A1.html
ALDOA	ENST00000642816.3	11	Low-record-burden interpretation-limited	true	49	0.181818	0.818182	1.000000	genes/ALDOA.html
ALDOB	ENST00000647789.2	138	Compact downstream-CDS record-coverage hypothesis	false	43	0.210145	0.695652	0.992754	genes/ALDOB.html
ALG1	ENST00000262374.10	120	Compact downstream-CDS record-coverage hypothesis	false	67	0.158333	0.416667	0.900000	genes/ALG1.html
ALG10	ENST00000266483.7	2	Low-record-burden interpretation-limited	true	8	1.000000	1.000000	1.000000	genes/ALG10.html
ALG11	ENST00000521508.2	18	Low-record-burden interpretation-limited	true	13	0.500000	1.000000	0.833333	genes/ALG11.html
ALG12	ENST00000330817.11	44	Compact downstream-CDS record-coverage hypothesis	false	49	0.159091	0.659091	1.000000	genes/ALG12.html
ALG13	ENST00000394780.8	11	Low-record-burden interpretation-limited	true	151	0.272727	0.727273	0.909091	genes/ALG13.html
ALG14	ENST00000370205.6	1	Low-record-burden interpretation-limited	true	13	1.000000	1.000000	1.000000	genes/ALG14.html
ALG2	ENST00000476832.2	11	Low-record-burden interpretation-limited	true	4	0.545455	1.000000	0.454545	genes/ALG2.html
ALG3	ENST00000397676.8	37	Compact downstream-CDS record-coverage hypothesis	false	43	0.189189	0.675676	0.837838	genes/ALG3.html
ALG5	ENST00000239891.4	8	Low-record-burden interpretation-limited	true	49	0.625000	0.625000	1.000000	genes/ALG5.html
ALG6	ENST00000263440.6	149	Compact downstream-CDS record-coverage hypothesis	false	79	0.167785	0.449664	1.000000	genes/ALG6.html
ALG8	ENST00000299626.10	63	Compact downstream-CDS record-coverage hypothesis	false	67	0.158730	0.523810	1.000000	genes/ALG8.html
